text,label,temperature,humidity,heat_index
"Current conditions: 24.9°C temperature, 50.0% humidity, heat index is normal.",Low,24.9,50.0,25.83
"Temperature at 30.9°C (trend stable), humidity at 50.0%.",Moderate,30.9,50.0,32.45
"Temperature at 31.0°C (trend stable), humidity at 50.0%.",Moderate,31.0,50.0,32.62
"Sensor readings show 36.0 degrees Celsius, 60.0 percent humidity, heat index exceeds threshold.",Severe,36.0,60.0,61.2
"Sensor readings show 30.9 degrees Celsius, 48.0 percent humidity, heat index is high.",Moderate,30.9,48.0,32.08
Temperature rising to 38.5°C. Humidity stable to 61.5%.,Severe,38.5,61.5,64.64999999999999
"Warning: temperature is comfortable, humidity is low. Heat index concern.",Low,25.7,44.0,26.16
"Warning: temperature is comfortable, humidity is moderate. Heat index concern.",Low,24.9,50.0,25.83
Temperature stable to 30.8°C. Humidity stable to 50.0%.,Moderate,30.8,50.0,32.29
"Temperature at 24.9°C (trend stable), humidity at 50.0%.",Low,24.9,50.0,25.83
"Temperature at 30.8°C (trend stable), humidity at 50.0%.",Moderate,30.8,50.0,32.29
"Sensor readings show 39.0 degrees Celsius, 61.8 percent humidity, heat index exceeds threshold.",Severe,39.0,61.8,65.34
"Temperature is warm at 30.9°C, humidity is low.",Moderate,30.9,48.0,32.08
"Alert: Temperature 44.0°C, humidity 64.8%. Heat index exceeds threshold.",Severe,44.0,64.8,72.24
"Alert: Temperature 25.8°C, humidity 44.0%. Heat index is normal.",Low,25.8,44.0,26.22
31.0°C and 49.0% humidity detected.,Moderate,31.0,49.0,32.42
"Alert: Temperature 24.8°C, humidity 50.0%. Heat index is normal.",Low,24.8,50.0,25.78
"Warning: temperature is warm, humidity is low. Heat index concern.",Moderate,30.9,48.0,32.08
27.2°C and 45.0% humidity detected.,Moderate,27.2,45.0,27.29
Temperature stable to 31.0°C. Humidity stable to 50.0%.,Moderate,31.0,50.0,32.62
"Temperature is 30.8°C, humidity is 49.0%, heat index is high.",Moderate,30.8,49.0,32.1
Temperature stable to 30.9°C. Humidity stable to 50.0%.,Moderate,30.9,50.0,32.45
"Temperature is 30.9°C, humidity is 50.0%, heat index is high.",Moderate,30.9,50.0,32.45
Temperature stable to 30.9°C. Humidity stable to 50.0%.,Moderate,30.9,50.0,32.45
"Temperature is warm at 30.8°C, humidity is moderate.",Moderate,30.8,50.0,32.29
"Temperature is 31.0°C, humidity is 50.0%, heat index is high.",Moderate,31.0,50.0,32.62
"Warning: temperature is comfortable, humidity is low. Heat index concern.",Low,25.7,44.0,26.16
"Alert: Temperature 30.9°C, humidity 50.0%. Heat index is high.",Moderate,30.9,50.0,32.45
"Current conditions: 30.9°C temperature, 50.0% humidity, heat index is high.",Moderate,30.9,50.0,32.45
"Temperature is warm at 30.9°C, humidity is moderate.",Moderate,30.9,50.0,32.45
"Warning: temperature is warm, humidity is moderate. Heat index concern.",Moderate,30.8,50.0,32.29
"Current conditions: 31.0°C temperature, 50.0% humidity, heat index is high.",Moderate,31.0,50.0,32.62
"Temperature at 31.0°C (trend stable), humidity at 50.0%.",Moderate,31.0,50.0,32.62
31.0°C and 50.0% humidity detected.,Moderate,31.0,50.0,32.62
26.3°C and 48.0% humidity detected.,Low,26.3,48.0,26.72
"Sensor readings show 26.8 degrees Celsius, 46.0 percent humidity, heat index is elevated.",Low,26.8,46.0,27.02
"Temperature at 30.9°C (trend stable), humidity at 50.0%.",Moderate,30.9,50.0,32.45
38.5°C and 61.5% humidity detected.,Severe,38.5,61.5,64.64999999999999
"Temperature is 24.9°C, humidity is 50.0%, heat index is normal.",Low,24.9,50.0,25.83
